0,74,16,19
1,87,35,8
2,34,33,16
3,72,92,16
4,1,15,10
5,13,76,7
6,32,41,16
7,31,57,2
8,14,27,16
9,39,72,18
10,41,32,7
11,99,46,8
12,60,30,2
13,56,62,16
14,41,29,5
15,34,40,6
16,53,64,13
17,3,39,7
18,82,97,4
19,0,84,11
20,42,20,13
21,46,84,6
22,75,35,9
23,89,75,7
24,66,43,16
25,12,34,15
26,28,2,19
27,18,10,11
28,1,5,16
29,70,89,13
30,5,66,20
31,58,75,4
32,83,87,8
33,89,93,12
34,4,49,9
35,76,70,11
36,50,4,2
37,67,60,4
38,85,68,1
39,37,96,20
40,58,10,4
41,76,61,20
42,9,59,6
43,15,70,16
44,86,54,16
45,69,50,13
46,76,62,10
47,26,97,1
48,0,66,20
49,51,55,12
50,91,10,17
51,5,66,8
52,73,21,10
53,93,10,12
54,35,15,11
55,8,65,2
56,33,81,16
57,87,22,8
58,41,14,4
59,99,59,2
60,60,76,19
61,6,10,4
62,71,94,4
63,19,13,11
64,74,3,9
65,20,13,12
66,21,72,4
67,28,93,1
68,98,36,11
69,87,83,11
70,79,69,20
71,31,45,13
72,20,59,1
73,23,27,19
74,74,79,11
75,73,7,11
76,96,36,9
77,96,92,15
78,13,91,16
79,9,80,2
80,31,62,14
81,53,98,12
82,91,72,20
83,99,96,18
84,23,0,17
85,95,65,6
86,88,75,16
87,8,13,6
88,43,42,18
89,66,69,8
90,70,97,17
91,36,40,6
92,78,54,3
93,79,39,7
94,12,4,7
95,7,74,7
96,70,33,5
97,37,47,17
98,96,28,9
99,54,21,8
100,58,28,8
101,30,89,19
102,20,83,17
103,19,72,19
104,59,4,1
105,78,9,9
106,50,75,4
107,77,33,7
108,29,54,7
109,56,18,14
110,72,39,18
111,47,44,10
112,68,23,16
113,22,56,17
114,61,11,17
115,33,65,5
116,25,15,2
117,44,87,18
118,91,60,12
119,73,37,9
120,93,58,18
121,99,23,5
122,5,57,10
123,19,13,18
124,51,95,1
125,61,43,18
126,41,95,4
127,77,59,6
128,85,95,7
129,86,66,13
130,3,79,1
131,60,44,5
132,7,12,18
133,30,73,10
134,94,83,10
135,94,12,1
136,36,78,10
137,6,75,3
138,8,69,5
139,37,95,9
140,55,63,12
141,83,26,20
142,52,18,20
143,64,59,10
144,61,29,2
145,4,81,6
146,31,55,5
147,37,60,4
148,7,35,7
149,23,4,15
150,63,79,20
151,19,70,18
152,5,18,15
153,63,1,12
154,82,29,15
155,67,34,13
156,54,38,5
157,47,91,12
158,32,28,20
159,69,0,2
160,96,8,5
161,6,37,19
162,33,60,18
163,69,16,18
164,94,32,19
165,94,91,18
